,T,b,name,err_TPD,std_TPD
17,5.0,20,magictelescope,0.5858569926393273,0.011131727190048008
18,10.0,0,magictelescope,0.25761654398878375,0.005091572218555719
19,10.0,1,magictelescope,0.25468279004556604,0.005125880680480096
20,10.0,2,magictelescope,0.2548913424465475,0.005275198165017155
21,10.0,5,magictelescope,0.263552400981423,0.006390160502468949
22,10.0,10,magictelescope,0.49101121626358224,0.010821925354504568
23,10.0,20,magictelescope,0.5855275148965999,0.0114434761017953
24,20.0,0,magictelescope,0.25738871363477045,0.0050681915447272526
25,20.0,1,magictelescope,0.25458990536277587,0.005205988118072919
26,20.0,2,magictelescope,0.25485103399929904,0.00529208706987184
27,20.0,5,magictelescope,0.2627655099894849,0.006703863826292292
28,20.0,10,magictelescope,0.49117069751139136,0.010935317174162624
29,20.0,20,magictelescope,0.5855327725201543,0.012946692647721436
0,0.5,0,phoneme,0.2520480465047224,0.008773322668563632
1,0.5,1,phoneme,0.24866769452153353,0.009797456088315906
2,0.5,2,phoneme,0.253429957401126,0.01028023746518882
3,0.5,5,phoneme,0.3489397848357145,0.015089764811162955
4,0.5,10,phoneme,0.36327456287616655,0.011955194940102686
5,0.5,20,phoneme,0.5445611288130562,0.059288462275057324
6,1.0,0,phoneme,0.2519122782974156,0.008671578351595856
7,1.0,1,phoneme,0.24884651842715366,0.009519382716383088
8,1.0,2,phoneme,0.25379394936101685,0.010464079237799809
9,1.0,5,phoneme,0.34898883635408473,0.014942541897451738
10,1.0,10,phoneme,0.36304620778657176,0.011739804868349888
11,1.0,20,phoneme,0.5441724740466646,0.0594306788448975
12,5.0,0,phoneme,0.2522207147017507,0.008735474181242386
13,5.0,1,phoneme,0.2487170087139251,0.009648066473269427
14,5.0,2,phoneme,0.25341760030150406,0.010575180898747158
15,5.0,5,phoneme,0.3497294800196434,0.015453791469253776
16,5.0,10,phoneme,0.36354580235493,0.012086843828679032
17,5.0,20,phoneme,0.5436172896609223,0.05941084929193536
18,10.0,0,phoneme,0.2523872271901873,0.008777557598508045
19,10.0,1,phoneme,0.24900072520871164,0.009817637848926855
20,10.0,2,phoneme,0.2536211041445393,0.01044945676698964
